orig,hexlink,hex,lowname,titlename,Color,Shades,Mix
AliceBlue,#F0F8FF,#f0f8ff,aliceblue,Alice Blue,,Shades,Mix
AntiqueWhite,#FAEBD7,#faebd7,antiquewhite,Antique White,,Shades,Mix
Aqua,#00FFFF,#00ffff,aqua,Aqua,,Shades,Mix
Aquamarine,#7FFFD4,#7fffd4,aquamarine,Aquamarine,,Shades,Mix
Azure,#F0FFFF,#f0ffff,azure,Azure,,Shades,Mix
Beige,#F5F5DC,#f5f5dc,beige,Beige,,Shades,Mix
Bisque,#FFE4C4,#ffe4c4,bisque,Bisque,,Shades,Mix
Black,#000000,#000000,black,Black,,Shades,Mix
BlanchedAlmond,#FFEBCD,#ffebcd,blanchedalmond,Blanched Almond,,Shades,Mix
Blue,#0000FF,#0000ff,blue,Blue,,Shades,Mix
BlueViolet,#8A2BE2,#8a2be2,blueviolet,Blue Violet,,Shades,Mix
Brown,#A52A2A,#a52a2a,brown,Brown,,Shades,Mix
BurlyWood,#DEB887,#deb887,burlywood,Burly Wood,,Shades,Mix
CadetBlue,#5F9EA0,#5f9ea0,cadetblue,Cadet Blue,,Shades,Mix
Chartreuse,#7FFF00,#7fff00,chartreuse,Chartreuse,,Shades,Mix
Chocolate,#D2691E,#d2691e,chocolate,Chocolate,,Shades,Mix
Coral,#FF7F50,#ff7f50,coral,Coral,,Shades,Mix
CornflowerBlue,#6495ED,#6495ed,cornflowerblue,Cornflower Blue,,Shades,Mix
Cornsilk,#FFF8DC,#fff8dc,cornsilk,Cornsilk,,Shades,Mix
Crimson,#DC143C,#dc143c,crimson,Crimson,,Shades,Mix
Cyan,#00FFFF,#00ffff,cyan,Cyan,,Shades,Mix
DarkBlue,#00008B,#00008b,darkblue,Dark Blue,,Shades,Mix
DarkCyan,#008B8B,#008b8b,darkcyan,Dark Cyan,,Shades,Mix
DarkGoldenRod,#B8860B,#b8860b,darkgoldenrod,Dark Golden Rod,,Shades,Mix
DarkGray,#A9A9A9,#a9a9a9,darkgray,Dark Gray,,Shades,Mix
DarkGrey,#A9A9A9,#a9a9a9,darkgrey,Dark Grey,,Shades,Mix
DarkGreen,#006400,#006400,darkgreen,Dark Green,,Shades,Mix
DarkKhaki,#BDB76B,#bdb76b,darkkhaki,Dark Khaki,,Shades,Mix
DarkMagenta,#8B008B,#8b008b,darkmagenta,Dark Magenta,,Shades,Mix
DarkOliveGreen,#556B2F,#556b2f,darkolivegreen,Dark Olive Green,,Shades,Mix
Darkorange,#FF8C00,#ff8c00,darkorange,Dark Orange,,Shades,Mix
DarkOrchid,#9932CC,#9932cc,darkorchid,Dark Orchid,,Shades,Mix
DarkRed,#8B0000,#8b0000,darkred,Dark Red,,Shades,Mix
DarkSalmon,#E9967A,#e9967a,darksalmon,Dark Salmon,,Shades,Mix
DarkSeaGreen,#8FBC8F,#8fbc8f,darkseagreen,Dark Sea Green,,Shades,Mix
DarkSlateBlue,#483D8B,#483d8b,darkslateblue,Dark Slate Blue,,Shades,Mix
DarkSlateGray,#2F4F4F,#2f4f4f,darkslategray,Dark Slate Gray,,Shades,Mix
DarkSlateGrey,#2F4F4F,#2f4f4f,darkslategrey,Dark Slate Grey,,Shades,Mix
DarkTurquoise,#00CED1,#00ced1,darkturquoise,Dark Turquoise,,Shades,Mix
DarkViolet,#9400D3,#9400d3,darkviolet,Dark Violet,,Shades,Mix
DeepPink,#FF1493,#ff1493,deeppink,Deep Pink,,Shades,Mix
DeepSkyBlue,#00BFFF,#00bfff,deepskyblue,Deep Sky Blue,,Shades,Mix
DimGray,#696969,#696969,dimgray,Dim Gray,,Shades,Mix
DimGrey,#696969,#696969,dimgrey,Dim Grey,,Shades,Mix
DodgerBlue,#1E90FF,#1e90ff,dodgerblue,Dodger Blue,,Shades,Mix
FireBrick,#B22222,#b22222,firebrick,Fire Brick,,Shades,Mix
FloralWhite,#FFFAF0,#fffaf0,floralwhite,Floral White,,Shades,Mix
ForestGreen,#228B22,#228b22,forestgreen,Forest Green,,Shades,Mix
Fuchsia,#FF00FF,#ff00ff,fuchsia,Fuchsia,,Shades,Mix
Gainsboro,#DCDCDC,#dcdcdc,gainsboro,Gainsboro,,Shades,Mix
GhostWhite,#F8F8FF,#f8f8ff,ghostwhite,Ghost White,,Shades,Mix
Gold,#FFD700,#ffd700,gold,Gold,,Shades,Mix
GoldenRod,#DAA520,#daa520,goldenrod,Golden Rod,,Shades,Mix
Gray,#808080,#808080,gray,Gray,,Shades,Mix
Grey,#808080,#808080,grey,Grey,,Shades,Mix
Green,#008000,#008000,green,Green,,Shades,Mix
GreenYellow,#ADFF2F,#adff2f,greenyellow,Green Yellow,,Shades,Mix
HoneyDew,#F0FFF0,#f0fff0,honeydew,Honey Dew,,Shades,Mix
HotPink,#FF69B4,#ff69b4,hotpink,Hot Pink,,Shades,Mix
IndianRed ,#CD5C5C,#cd5c5c,indianred ,Indian Red ,,Shades,Mix
Indigo ,#4B0082,#4b0082,indigo ,Indigo ,,Shades,Mix
Ivory,#FFFFF0,#fffff0,ivory,Ivory,,Shades,Mix
Khaki,#F0E68C,#f0e68c,khaki,Khaki,,Shades,Mix
Lavender,#E6E6FA,#e6e6fa,lavender,Lavender,,Shades,Mix
LavenderBlush,#FFF0F5,#fff0f5,lavenderblush,Lavender Blush,,Shades,Mix
LawnGreen,#7CFC00,#7cfc00,lawngreen,Lawn Green,,Shades,Mix
LemonChiffon,#FFFACD,#fffacd,lemonchiffon,Lemon Chiffon,,Shades,Mix
LightBlue,#ADD8E6,#add8e6,lightblue,Light Blue,,Shades,Mix
LightCoral,#F08080,#f08080,lightcoral,Light Coral,,Shades,Mix
LightCyan,#E0FFFF,#e0ffff,lightcyan,Light Cyan,,Shades,Mix
LightGoldenRodYellow,#FAFAD2,#fafad2,lightgoldenrodyellow,Light Golden Rod Yellow,,Shades,Mix
LightGray,#D3D3D3,#d3d3d3,lightgray,Light Gray,,Shades,Mix
LightGrey,#D3D3D3,#d3d3d3,lightgrey,Light Grey,,Shades,Mix
LightGreen,#90EE90,#90ee90,lightgreen,Light Green,,Shades,Mix
LightPink,#FFB6C1,#ffb6c1,lightpink,Light Pink,,Shades,Mix
LightSalmon,#FFA07A,#ffa07a,lightsalmon,Light Salmon,,Shades,Mix
LightSeaGreen,#20B2AA,#20b2aa,lightseagreen,Light Sea Green,,Shades,Mix
LightSkyBlue,#87CEFA,#87cefa,lightskyblue,Light Sky Blue,,Shades,Mix
LightSlateGray,#778899,#778899,lightslategray,Light Slate Gray,,Shades,Mix
LightSlateGrey,#778899,#778899,lightslategrey,Light Slate Grey,,Shades,Mix
LightSteelBlue,#B0C4DE,#b0c4de,lightsteelblue,Light Steel Blue,,Shades,Mix
LightYellow,#FFFFE0,#ffffe0,lightyellow,Light Yellow,,Shades,Mix
Lime,#00FF00,#00ff00,lime,Lime,,Shades,Mix
LimeGreen,#32CD32,#32cd32,limegreen,Lime Green,,Shades,Mix
Linen,#FAF0E6,#faf0e6,linen,Linen,,Shades,Mix
Magenta,#FF00FF,#ff00ff,magenta,Magenta,,Shades,Mix
Maroon,#800000,#800000,maroon,Maroon,,Shades,Mix
MediumAquaMarine,#66CDAA,#66cdaa,mediumaquamarine,Medium Aqua Marine,,Shades,Mix
MediumBlue,#0000CD,#0000cd,mediumblue,Medium Blue,,Shades,Mix
MediumOrchid,#BA55D3,#ba55d3,mediumorchid,Medium Orchid,,Shades,Mix
MediumPurple,#9370DB,#9370db,mediumpurple,Medium Purple,,Shades,Mix
MediumSeaGreen,#3CB371,#3cb371,mediumseagreen,Medium Sea Green,,Shades,Mix
MediumSlateBlue,#7B68EE,#7b68ee,mediumslateblue,Medium Slate Blue,,Shades,Mix
MediumSpringGreen,#00FA9A,#00fa9a,mediumspringgreen,Medium Spring Green,,Shades,Mix
MediumTurquoise,#48D1CC,#48d1cc,mediumturquoise,Medium Turquoise,,Shades,Mix
MediumVioletRed,#C71585,#c71585,mediumvioletred,Medium Violet Red,,Shades,Mix
MidnightBlue,#191970,#191970,midnightblue,Midnight Blue,,Shades,Mix
MintCream,#F5FFFA,#f5fffa,mintcream,Mint Cream,,Shades,Mix
MistyRose,#FFE4E1,#ffe4e1,mistyrose,Misty Rose,,Shades,Mix
Moccasin,#FFE4B5,#ffe4b5,moccasin,Moccasin,,Shades,Mix
NavajoWhite,#FFDEAD,#ffdead,navajowhite,Navajo White,,Shades,Mix
Navy,#000080,#000080,navy,Navy,,Shades,Mix
OldLace,#FDF5E6,#fdf5e6,oldlace,Old Lace,,Shades,Mix
Olive,#808000,#808000,olive,Olive,,Shades,Mix
OliveDrab,#6B8E23,#6b8e23,olivedrab,Olive Drab,,Shades,Mix
Orange,#FFA500,#ffa500,orange,Orange,,Shades,Mix
OrangeRed,#FF4500,#ff4500,orangered,Orange Red,,Shades,Mix
Orchid,#DA70D6,#da70d6,orchid,Orchid,,Shades,Mix
PaleGoldenRod,#EEE8AA,#eee8aa,palegoldenrod,Pale Golden Rod,,Shades,Mix
PaleGreen,#98FB98,#98fb98,palegreen,Pale Green,,Shades,Mix
PaleTurquoise,#AFEEEE,#afeeee,paleturquoise,Pale Turquoise,,Shades,Mix
PaleVioletRed,#DB7093,#db7093,palevioletred,Pale Violet Red,,Shades,Mix
PapayaWhip,#FFEFD5,#ffefd5,papayawhip,Papaya Whip,,Shades,Mix
PeachPuff,#FFDAB9,#ffdab9,peachpuff,Peach Puff,,Shades,Mix
Peru,#CD853F,#cd853f,peru,Peru,,Shades,Mix
Pink,#FFC0CB,#ffc0cb,pink,Pink,,Shades,Mix
Plum,#DDA0DD,#dda0dd,plum,Plum,,Shades,Mix
PowderBlue,#B0E0E6,#b0e0e6,powderblue,Powder Blue,,Shades,Mix
Purple,#800080,#800080,purple,Purple,,Shades,Mix
Red,#FF0000,#ff0000,red,Red,,Shades,Mix
RosyBrown,#BC8F8F,#bc8f8f,rosybrown,Rosy Brown,,Shades,Mix
RoyalBlue,#4169E1,#4169e1,royalblue,Royal Blue,,Shades,Mix
SaddleBrown,#8B4513,#8b4513,saddlebrown,Saddle Brown,,Shades,Mix
Salmon,#FA8072,#fa8072,salmon,Salmon,,Shades,Mix
SandyBrown,#F4A460,#f4a460,sandybrown,Sandy Brown,,Shades,Mix
SeaGreen,#2E8B57,#2e8b57,seagreen,Sea Green,,Shades,Mix
SeaShell,#FFF5EE,#fff5ee,seashell,Sea Shell,,Shades,Mix
Sienna,#A0522D,#a0522d,sienna,Sienna,,Shades,Mix
Silver,#C0C0C0,#c0c0c0,silver,Silver,,Shades,Mix
SkyBlue,#87CEEB,#87ceeb,skyblue,Sky Blue,,Shades,Mix
SlateBlue,#6A5ACD,#6a5acd,slateblue,Slate Blue,,Shades,Mix
SlateGray,#708090,#708090,slategray,Slate Gray,,Shades,Mix
SlateGrey,#708090,#708090,slategrey,Slate Grey,,Shades,Mix
Snow,#FFFAFA,#fffafa,snow,Snow,,Shades,Mix
SpringGreen,#00FF7F,#00ff7f,springgreen,Spring Green,,Shades,Mix
SteelBlue,#4682B4,#4682b4,steelblue,Steel Blue,,Shades,Mix
Tan,#D2B48C,#d2b48c,tan,Tan,,Shades,Mix
Teal,#008080,#008080,teal,Teal,,Shades,Mix
Thistle,#D8BFD8,#d8bfd8,thistle,Thistle,,Shades,Mix
Tomato,#FF6347,#ff6347,tomato,Tomato,,Shades,Mix
Turquoise,#40E0D0,#40e0d0,turquoise,Turquoise,,Shades,Mix
Violet,#EE82EE,#ee82ee,violet,Violet,,Shades,Mix
Wheat,#F5DEB3,#f5deb3,wheat,Wheat,,Shades,Mix
White,#FFFFFF,#ffffff,white,White,,Shades,Mix
WhiteSmoke,#F5F5F5,#f5f5f5,whitesmoke,White Smoke,,Shades,Mix
Yellow,#FFFF00,#ffff00,yellow,Yellow,,Shades,Mix
YellowGreen,#9ACD32,#9acd32,yellowgreen,Yellow Green,,Shades,Mix
